peopleCd,peopleNm,peopleNmEn,repRoleNm,filmoNames
20316732,정민준,JEONG MINJUN,조명팀,성난황소
20181321,김유민,,조감독,"강릉|세자매|미스터 주: 사라진 VIP|목격자|귀향, 끝나지 않은 이야기|재심|범죄의 여왕|귀향|차이나타운|제보자|밤의 여왕|박수건달|원더풀 라디오|오싹한 연애"
20136023,김하나,,제작팀,타로|오랜만이다|말임씨를 부탁해|길|7월7일|정직한 후보|집 이야기|무지개 여신|암전|특별수사: 사형수의 편지|거짓말|비상|똥파리|므이|라라라
20366724,박한얼,,제작팀,청설|하이재킹|오랜만이다|설계자|감동주의보|최선의 삶|방법: 재차의|정직한 후보|연기
20316861,정성운,,제작팀,오랜만이다|불어라 검풍아|담보|백두산|82년생 김지영|오만|어린 의뢰인|로망|완벽한 타인|리틀 포레스트|그것만이 내 세상
20377945,김희근,,제작팀,오랜만이다|설계자|최선의 삶|방법: 재차의
20222586,한명훈,,제작팀,"오랜만이다|카시오페아|방법: 재차의|담보|봉오동 전투|나랏말싸미|기생충|지푸라기라도 잡고 싶은 짐승들|돈|증인|명당|목격자|청년경찰|당신, 거기 있어줄래요|동주|간신|무서운 이야기 3 '여우골'"
20227383,김주연,KIM JOO YOUN,예고편,"그 시절, 우리가 좋아했던 소녀|보고타: 마지막 기회의 땅|안녕, 할부지|우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지|시맨틱 에러: 더 무비|국제수사|반도|다만 악에서 구하소서|결백|시동|감쪽같은 그녀|나를 찾아줘|윤희에게|블랙머니|82년생 김지영|나랏말싸미|기생충|어린 의뢰인|왓칭|사자|악질경찰|항거:유관순 이야기|극한직업|말모이|스윙키즈|여곡성|안시성|명당|미쓰백|목격자|변산|허스토리|더 펜션|바람 바람 바람|치즈인더트랩|강철비|반드시 잡는다|기억의 밤|머니백|역모-반란의 시대|필름시대사랑"
10005927,김진열,KIM Jin-yeol,감독,"바로 지금 여기|왕십리 김종분|나쁜 나라|진옥 언니 학교 가다|잊혀진 여전사|땅, 밥 만들기|남매와 진달래 |독립영화인 국가보안법 철폐 프로젝트"
10026800,문정현,MUN Jeong-hyun,감독,바로 지금 여기|오색의 린|성수동 족쟁이들|이산자|경계|붕괴|가면놀이|용산|할매꽃|슬로브핫의 딸들|송환|김종태의 꿈|저수지의 개들 take 2. 낙동강 (with 바드&정민아)|영산강 사람들|강의 진실 
10007605,남태제,Nam Taeje,감독,바로 지금 여기|왕십리 김종분|월성|학교|전선은 있다
20336391,서한결,,배우,기생충|어게인
20336389,서한결,,배우,그대 이름은 장미
10000975,이강희,LEE Kang Hee,캐스팅디렉터,어웨이크|발광하는 현대사|설계|내 사랑 유리에|간 큰 남자|기억의 집|기기묘묘2
20385169,이민규,Lee Min Kyu,예고편,"백수아파트|보고타: 마지막 기회의 땅|안녕, 할부지|어게인 1997|우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지|늑대사냥|카브리올레|올빼미"
20155226,이정민,,의상팀,설계자|윤시내가 사라졌다|경관의 피|속물들|명당|안시성|물괴|꾼|박열|임금님의 사건수첩|궁합|널 기다리며
20382633,이정민,,의상팀,청설|롱디|공기살인|서울괴담|더러운 돈에 손대지 마라|버티고
20400689,민아람,minaram,배우,용감한 시민
20382312,유준혁,,배우,부전시장|장인과 사위|어부바
10003531,김경룡,KIM Gyeong-ryong,배우,부전시장|세하별|용감한 시민|감동주의보|구원|개 같은 것들|슈팅걸스|아직 사랑하고 있습니까?|엑시트|귀신의 향기|참외향기|게이트|봉이 김선달|소시민|권법형사 : 차이나타운|좀비스쿨|박수건달|범죄소년|간기남|하울링|글러브|슬픔보다 더 슬픈 이야기|해부학 교실|무영검|분신사바|효자동 이발사|조폭마누라2-돌아온 전설|역전에 산다|광복절 특사|폰|공공의 적|새출발|이명
